70	37597	 731143 448791 996366 478342 157785 261127 716172 665073 362203 89860
71	4025	 703234 908784 401129 448477 252253 546632 627237 97056 738572 951201 
71	58206	 825368 682094 198359 660507 653517 836961 367957 757182 777001 841008
71	6972	 220437 798140 462730 745407 571984 882775 963862 197378 217058 560752
71	42849	 329219 826737 179942 424740 139031 172308 352560 792637 572409 723552
70	51367	 703234 908784 401129 448477 252253 546632 627237 97056 738572 951201
69	64600	 48719 190940 23796 436630 751790 402852 285746 601243 420200 237103
70	55649	 823766 739123 769325 984494 225966 714206 336723 10903 166099 651469
71	28872	 952785 848560 206978 489319 678232 395175 554783 606021 826799 723257
71	33785	 145763 548435 430520 685079 674120 971155 418989 440585 702248 510507
68	22500	 61536 792748 682484 999446 606612 520159 903474 558882 68607 58816
70	3486	 156281 497863 307092 264051 76244 922025 716664 619244 258523 834670
71	53307	 876700 446163 157906 771065 469418 360114 520063 697013 410973 944506
71	4103	 457211 938931 865938 176774 116002 490231 719703 780283 492994 499155
71	42055	 961983 579334 348107 362744 290421 268230 781984 782861 239395 966121
71	9798	 253152 885491 701848 934133 855459 557670 163454 921242 809365 605769
71	8111	 622027 102919 764363 645143 914471 608968 501507 862397 700784 223073
70	44613	 79638 841748 934933 228962 664162 391542 173493 966446 312917 285270
70	6844	 492573 714960 935069 84896 659458 977092 383602 722535 608465 535727
70	51798	 156334 395280 183523 256819 77682 941048 571579 368474 931519 113456
70	55485	 473048 80670 604145 706685 599269 763099 420863 149021 932038 927060
70	4069	 219227 256528 238204 666983 544814 567262 37737 109909 698844 345592
70	41374	 714593 274608 65414 906758 133286 288792 245541 536038 470564 805315
71	23980	 575710 960174 911998 937628 844263 856412 492042 740570 169022 287194
69	19998	 3922 233090 173506 276372 860528 515311 996493 358849 581033 449001
71	35115	 622949 665803 997010 852911 206055 761859 305554 767232 668607 175636
71	20434	 779597 892470 513259 825960 709979 185814 506311 248953 551449 207301
70	12923	 82841 663997 445050 643425 699931 267566 197284 682808 347719 503650
69	27682	 767888 726784 20624 863687 467189 49077 288778 771200 967684 793455
69	22733	 698014 76726 138116 618679 41125 737687 889208 641702 145452 247506
70	8575	 567700 619894 598722 482862 798431 737236 647579 393078 29701 840158
70	54761	 142748 386081 933709 174597 150630 987090 112776 206235 44908 338204
71	27907	 553473 325183 541384 987557 152165 451583 622374 713878 471811 978879
